,beer_name,beer_style,beer_substyle,brewery_name,abv
0,Samuel Adams Winter Lager,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.6
1,Shiner Bock,Bocks,German Bock,Spoetzl Brewery,4.4
2,Samuel Adams Chocolate Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
3,Michelob AmberBock,Bocks,German Bock,Anheuser-Busch,5.2
4,Samuel Adams Cherry Chocolate Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
5,Uff-da,Bocks,German Bock,New Glarus Brewing Company,6.7
6,The Vixen Chocolate Chili Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),8.5
7,St. Nikolaus Bock Bier,Bocks,German Bock,Pennsylvania Brewing Company,6.0
8,Spring Bock,Bocks,German Bock,Saint Arnold Brewing Company,6.9
9,Pandora's Bock,Bocks,German Bock,Breckenridge Brewery,7.5
10,Genesee Spring Bock,Bocks,German Bock,Genesee Brewing Co. / Dundee Brewing Co.,5.2
11,Ur-Bock Dunkel,Bocks,German Bock,Einbecker Brauhaus AG,6.5
12,La Trappe Bockbier,Bocks,German Bock,Bierbrouwerij De Koningshoeven B.V.,7.0
13,Christmas Bock,Bocks,German Bock,Mahr's Bräu,6.0
14,Noche Buena,Bocks,German Bock,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",5.9
15,Schell's Bock,Bocks,German Bock,August Schell Brewing Company,6.1
16,Samuel Adams Toasted Caramel Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
17,Schokolade Bock,Bocks,German Bock,Millstream Brewing Company,6.0
18,Saranac Chocolate Lager,Bocks,German Bock,Matt Brewing Company / Saranac Brewery,6.0
19,Brother Benedict's Bock,Bocks,German Bock,Granite City Food & Brewery,5.1
20,Atwater Winterbock,Bocks,German Bock,Atwater Brewery,7.5
21,Creemore Springs UrBock,Bocks,German Bock,Creemore Springs Brewery Limited,6.0
22,Revolver Bock,Bocks,German Bock,Revolver Brewing,6.5
23,LAG Lagunator Lager,Bocks,German Bock,Lagunitas Brewing Company,7.7
24,Mountain Holidays In Vermont,Bocks,German Bock,Rock Art Brewery,5.8
25,Holsten Festbock,Bocks,German Bock,Holsten-Brauerei,7.0
26,Block House Double Chocolate Bock,Bocks,German Bock,Pittsburgh Brewing Co.,6.5
27,Huber Bock Beer,Bocks,German Bock,Minhas Craft Brewery,5.5
28,Bock Bock Imperial American Bock Aged In Bourbon Barrels,Bocks,German Bock,Shmaltz Brewing Company,9.4
29,Kozlak,Bocks,German Bock,Browar Amber,6.5
30,Samuel Adams Amber Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),6.0
31,Nero's 1st Century Double Dark Malt Ale,Bocks,German Bock,Amarcord Birra Artigianale Italiana,8.0
32,Bockslider Toadies Texas Bock,Bocks,German Bock,Martin House Brewing Company,5.6
33,Bokbier,Bocks,German Bock,Jopen Bier BV Haarlem,6.5
34,Love Honey,Bocks,German Bock,Lost Forty Brewery,6.3
35,Battlefield Bock,Bocks,German Bock,Red Oak Brewery,6.5
36,Mönchshof Bockbier,Bocks,German Bock,Kulmbacher Brauerei AG,6.9
37,Chouffe-Bok 6666,Bocks,German Bock,Brasserie d'Achouffe,6.66
38,Christoffel Bokbier,Bocks,German Bock,Bierbrouwerij Sint Christoffel B.V,7.8
39,The Bennie,Bocks,German Bock,Granite City Food & Brewery,5.5
40,Aass Bock,Bocks,German Bock,Aass Brewery,6.5
41,Bock Beer,Bocks,German Bock,Rivertown Brewery & Barrel House,7.2
42,Crawford Bock,Bocks,German Bock,Karbach Brewing Co.,4.5
43,Zywiec Bock,Bocks,German Bock,Zywiec Breweries PLC (Heineken),6.5
44,Stegmaier Brewhouse Bock,Bocks,German Bock,"Lion Brewery, Inc.",6.6
45,Bock De Joliette,Bocks,German Bock,Micro-Brasserie L'Alchimiste,6.1
46,Dreher Bak,Bocks,German Bock,Dreher Brewery,7.3
47,Poop Your Pants Chocolate Bock,Bocks,German Bock,Perrin Brewing Co.,6.0
48,Blondibock,Bocks,German Bock,Mammoth Brewing Company,8.0
49,Ironshore Bock,Bocks,German Bock,Cayman Islands Brewery Ltd.,7.0
50,Ayinger Celebrator,Bocks,German Doppelbock,Ayinger Privatbrauerei,6.7
51,Troegenator,Bocks,German Doppelbock,Tröegs Brewing Company,8.2
52,Spaten Optimator,Bocks,German Doppelbock,Spaten-Franziskaner-Bräu,7.6
53,Salvator Doppel Bock,Bocks,German Doppelbock,Paulaner Brauerei GmbH & Co. KG,7.9
54,Korbinian,Bocks,German Doppelbock,Bayerische Staatsbrauerei Weihenstephan,7.4
55,Samichlaus Classic Bier,Bocks,German Doppelbock,Brauerei Schloss Eggenberg,14.0
56,Samuel Adams Double Bock (Imperial Series),Bocks,German Doppelbock,Boston Beer Company (Samuel Adams),9.5
57,Consecrator,Bocks,German Doppelbock,Bell's Brewery - Eccentric Café & General Store,8.0
58,Andechser Doppelbock Dunkel,Bocks,German Doppelbock,Klosterbrauerei Andechs,7.1
59,Birra Moretti La Rossa,Bocks,German Doppelbock,Birra Moretti (Heineken),7.2
60,Perkulator Coffee Dopplebock,Bocks,German Doppelbock,Dark Horse Brewing Company,7.0
61,EKU 28,Bocks,German Doppelbock,Kulmbacher Brauerei AG,11.0
62,Thomas Hooker Liberator Doppelbock,Bocks,German Doppelbock,Thomas Hooker Brewing Company,8.5
63,Augustiner Bräu Maximator,Bocks,German Doppelbock,Augustiner-Bräu,7.5
64,Smuttynose S'muttonator (Heritage Series),Bocks,German Doppelbock,Smuttynose Brewing Company,8.2
65,Butthead Doppelbock,Bocks,German Doppelbock,Tommyknocker Brewery,8.2
66,Autumnal Fire,Bocks,German Doppelbock,Capital Brewery,7.8
67,Wasatch The Devastator Double Bock,Bocks,German Doppelbock,Utah Brewers Cooperative,8.0
68,Weltenburger Kloster Asam-Bock,Bocks,German Doppelbock,Klosterbrauerei Weltenburg,6.9
69,St. Victorious,Bocks,German Doppelbock,Victory Brewing Company - Downingtown,7.6
70,Urbock 23°,Bocks,German Doppelbock,Brauerei Schloss Eggenberg,9.6
71,Atwater Voodoovator,Bocks,German Doppelbock,Atwater Brewery,9.5
72,Saxonator Dunkles Doppelbock,Bocks,German Doppelbock,Jack's Abby Brewing,8.5
73,Doppel-Hirsch,Bocks,German Doppelbock,Der HirschBrau/Privatbrauerei Höss,7.2
74,Josephs Brau Winter Brew,Bocks,German Doppelbock,Trader Joe's Brewing Company,7.5
75,Duck-Rabbator,Bocks,German Doppelbock,The Duck-Rabbit Craft Brewery,8.5
76,Troegenator - Bourbon Barrel-Aged,Bocks,German Doppelbock,Tröegs Brewing Company,11.5
77,Ettaler Curator Dunkler Doppelbock (US Import Version),Bocks,German Doppelbock,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,9.0
78,Blonde Doppelbock,Bocks,German Doppelbock,Capital Brewery,7.8
79,Snow Blind Doppelbock,Bocks,German Doppelbock,Starr Hill Brewery,7.7
80,Doppelbock Dunkel,Bocks,German Doppelbock,Brauerei Schloss Eggenberg,8.5
81,Dark Heathen Triple Bock,Bocks,German Doppelbock,Kuhnhenn Brewing Company,12.5
82,Tucher Bajuvator Doppelbock,Bocks,German Doppelbock,Brauerei Tucher Brau,7.2
83,Winter Bock,Bocks,German Doppelbock,Gordon Biersch Brewery Restaurant,7.5
84,Deep Water Dopplebock,Bocks,German Doppelbock,Thomas Creek Brewery,7.0
85,Doppelbock Grande Cuvée Printemps,Bocks,German Doppelbock,Les Trois Mousquetaires,8.6
86,Lobotomy Bock,Bocks,German Doppelbock,Indian Wells Brewing Company,10.5
87,Sled Dog Dopplebock,Bocks,German Doppelbock,Wagner Valley Brewing Co.,8.5
88,Primátor Double Bock Beer,Bocks,German Doppelbock,Pivovar Náchod a.s.,10.5
89,Icelandic Doppelbock,Bocks,German Doppelbock,Einstök Ölgerð (Einstök Beer Company),6.7
90,Dopple Bock,Bocks,German Doppelbock,Sprecher Brewing Company,7.85
91,St. Nikolaus Bock Bier - Brewer's Reserve,Bocks,German Doppelbock,Pennsylvania Brewing Company,8.5
92,Double Skull,Bocks,German Doppelbock,Epic Brewing Company,9.0
93,Emancipator Doppelbock,Bocks,German Doppelbock,Christian Moerlein Brewing Company,7.0
94,Winter-Bock,Bocks,German Doppelbock,Einbecker Brauhaus AG,7.5
95,Granitbock,Bocks,German Doppelbock,Brauerei Hofstetten Krammer GmbH & Co. KG,7.3
96,Henry's Farm Double Bock,Bocks,German Doppelbock,Two Roads Brewing Company,7.8
97,Double Vision Doppelbock,Bocks,German Doppelbock,Grand Teton Brewing Co.,8.0
98,Massacre,Bocks,German Doppelbock,Wolverine State Brewing Company,14.5
99,Fireman's Brew Brunette Beer,Bocks,German Doppelbock,"Fireman's Brew, Inc.",8.0
100,Schneider Aventinus Eisbock,Bocks,German Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,12.0
101,Raspberry Eisbock,Bocks,German Eisbock,Kuhnhenn Brewing Company,15.5
102,Eisbock,Bocks,German Eisbock,Kulmbacher Brauerei AG,9.2
103,Winter Wonder Lager,Bocks,German Eisbock,Kuhnhenn Brewing Company,13.0
104,Hermannator,Bocks,German Eisbock,Vancouver Island Brewing,9.5
105,Ramstein Winter Wheat Eisbock,Bocks,German Eisbock,High Point Brewing Company,11.5
106,Schneider Weisse Tap X Aventinus Eisbock Barrique,Bocks,German Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,12.0
107,Granitbock Ice,Bocks,German Eisbock,Brauerei Hofstetten Krammer GmbH & Co. KG,11.5
108,Double Ice Bock,Bocks,German Eisbock,Southampton Publick House,18.0
109,Fire And Eisbock,Bocks,German Eisbock,Mammoth Brewing Company,10.0
110,Schnee Boot,Bocks,German Eisbock,Heavy Seas Beer,13.0
111,Eisbock (Congelator),Bocks,German Eisbock,Micro-Brasserie L'Alchimiste,9.4
112,Freeze Ray,Bocks,German Eisbock,Strangeways Brewing,10.24
113,Schorschbock Ice 13,Bocks,German Eisbock,Schorschbräu,13.0
114,Schorschbräu Schorschbock 31%,Bocks,German Eisbock,Schorschbräu,30.86
115,La Félix,Bocks,German Eisbock,"Le Bilboquet, Brasseur Artisan",11.9
116,G'froren's Iced IPA: Saphir,Bocks,German Eisbock,Brauerei Hofstetten Krammer GmbH & Co. KG,11.4
117,Eisbock (Ice Bock),Bocks,German Eisbock,Glacier Brewhouse,10.0
118,Bourbon Barrel Aged Eisbock,Bocks,German Eisbock,Mammoth Brewing Company,10.5
119,Shiva's Wrath,Bocks,German Eisbock,New Braunfels Brewing Company,9.0
120,Imperial Bock,Bocks,German Eisbock,Alaskan Brewing Co.,12.5
121,Layer Up,Bocks,German Eisbock,Surly Brewing Company,5.5
122,Caraquet Flyer,Bocks,German Eisbock,Distillerie Fils du Roy,8.5
123,Schorschbräu Schorschbock 57%,Bocks,German Eisbock,Schorschbräu,57.5
124,Störtebeker Eis-Lager,Bocks,German Eisbock,Störtebeker Braumanufaktur,9.8
125,Eisbock,Bocks,German Eisbock,Lodi Beer Company,12.0
126,Texas Ice Bock,Bocks,German Eisbock,Franconia Brewing Company,0.0
127,Faust Holzfassgereifter Eisbock,Bocks,German Eisbock,Brauhaus Faust-Miltenberger,11.0
128,Eis Instigator,Bocks,German Eisbock,Sly Fox Brewing Company,0.0
129,Ijsbok Hout,Bocks,German Eisbock,Stichting Noordhollandse Alternatieve Bierbrouwers (SNAB),9.0
130,Störtebeker Nordik Porter,Bocks,German Eisbock,Störtebeker Braumanufaktur,9.1
131,Eis Eis Baby,Bocks,German Eisbock,Harpoon Brewery & Beer Hall,10.7
132,Bad Santa,Bocks,German Eisbock,"Bayern Brewing, Inc. / Edelweiss Bistro",12.0
133,Smooth Like Jazz,Bocks,German Eisbock,Revelry Brewing Co,14.0
134,G'froren's Iced IPA: Aurora,Bocks,German Eisbock,Brauerei Hofstetten Krammer GmbH & Co. KG,11.4
135,G'froren's Iced IPA: Mandarina Bavaria,Bocks,German Eisbock,Brauerei Hofstetten Krammer GmbH & Co. KG,11.4
136,Balinatoreised,Bocks,German Eisbock,Carton Brewing Company,11.0
137,Ex-girlfriend,Bocks,German Eisbock,Jopen Bier BV Haarlem,11.5
138,Ganonoque Eisbock,Bocks,German Eisbock,Gananoque Brewing Company,6.0
139,Devil's Advocate,Bocks,German Eisbock,Wayward Brewing,13.0
140,Ex-Girlfriend BA Ruby Port & Jamaican Rum,Bocks,German Eisbock,Jopen Bier BV Haarlem,11.3
141,Woman in Black,Bocks,German Eisbock,Legend Brewing Co.,10.0
142,My Name Is Legion,Bocks,German Eisbock,Lehe Pruulikoda,22.0
143,Black Ice,Bocks,German Eisbock,Aarhus Bryghus,8.5
144,Medusalem Eisbock,Bocks,German Eisbock,Freigeist Bierkultur,18.0
145,Jamie the Magnificent,Bocks,German Eisbock,Parched Eagle Brewpub,9.2
146,Craft-A Eisbock,Bocks,German Eisbock,Antlabräu,8.1
147,eisbock,Bocks,German Eisbock,Kulmbacher Kommunbräu,9.2
148,Eisbock,Bocks,German Eisbock,Gananoque Brewing Company,6.0
149,La Felix elevee en barriques (bourbon barrel aged),Bocks,German Eisbock,"Le Bilboquet, Brasseur Artisan",9.0
150,Dead Guy Ale,Bocks,German Maibock,Rogue Ales,6.8
151,Andygator,Bocks,German Maibock,Abita Brewing Co.,8.0
152,Mardi Gras Bock,Bocks,German Maibock,Abita Brewing Co.,6.5
153,Hofbräu Maibock (Urbock),Bocks,German Maibock,Hofbräuhaus München,7.2
154,Cultivator,Bocks,German Maibock,Tröegs Brewing Company,6.9
155,Cabin Fever,Bocks,German Maibock,New Glarus Brewing Company,6.0
156,John John Dead Guy Ale,Bocks,German Maibock,Rogue Ales,6.4
157,Dundee Pale Bock Lager,Bocks,German Maibock,Genesee Brewing Co. / Dundee Brewing Co.,6.25
158,Maibock,Bocks,German Maibock,Summit Brewing Company,6.7
159,Mai-Ur-Bock,Bocks,German Maibock,Einbecker Brauhaus AG,6.5
160,Samichlaus Bier Helles,Bocks,German Maibock,Brauerei Schloss Eggenberg,14.0
161,Josephs Brau Heller Bock,Bocks,German Maibock,Trader Joe's Brewing Company,7.0
162,Blonde Bock,Bocks,German Maibock,Gordon Biersch Brewery Restaurant,7.0
163,Boss Tom's Golden Bock,Bocks,German Maibock,Boulevard Brewing Co.,6.1
164,Maibock,Bocks,German Maibock,Capital Brewery,6.2
165,Maibock Hurts Like Helles,Bocks,German Maibock,Jack's Abby Brewing,6.5
166,Narragansett Bock,Bocks,German Maibock,Narragansett Brewing Co.,6.5
167,Berkshire Maibock Lager,Bocks,German Maibock,Berkshire Brewing Company Inc.,6.5
168,LTD Series - 04,Bocks,German Maibock,Full Sail Brewing Company,7.0
169,Blonde Double MaiBock,Bocks,German Maibock,Stoudts Brewing Co.,7.0
170,Mai Bock,Bocks,German Maibock,Sprecher Brewing Company,6.0
171,Maibock,Bocks,German Maibock,Gordon Biersch Brewery Restaurant,7.3
172,Abita Strawgator,Bocks,German Maibock,Abita Brewing Co.,8.0
173,Hacker-Pschorr Hubertus Bock,Bocks,German Maibock,Hacker-Pschorr Bräu GmbH,6.8
174,LTD Series - 02,Bocks,German Maibock,Full Sail Brewing Company,6.4
175,Bucking Bock,Bocks,German Maibock,Rahr & Sons Brewing Company,7.5
176,Josephs Brau Spring Prost,Bocks,German Maibock,Trader Joe's Brewing Company,7.3
177,The Gift (WinterBock Lager),Bocks,German Maibock,Starr Hill Brewery,6.5
178,Primátor Maibock,Bocks,German Maibock,Pivovar Náchod a.s.,7.5
179,Ayinger Maibock,Bocks,German Maibock,Ayinger Privatbrauerei,7.5
180,Dead 'N' Dead,Bocks,German Maibock,Rogue Ales,8.2
181,Andechser Bergbock Hell,Bocks,German Maibock,Klosterbrauerei Andechs,7.0
182,Voku Hila,Bocks,German Maibock,Local Option,6.5
183,Spaten Maibock / Premium Bock,Bocks,German Maibock,Spaten-Franziskaner-Bräu,6.5
184,Holsten Maibock,Bocks,German Maibock,Holsten-Brauerei,7.0
185,Atwater Maibock,Bocks,German Maibock,Atwater Brewery,7.5
186,Serie Signature Maibock,Bocks,German Maibock,Les Trois Mousquetaires,6.8
187,PENNdemonium,Bocks,German Maibock,Pennsylvania Brewing Company,8.0
188,Lila,Bocks,German Maibock,Hair Of The Dog Brewing Company / Brewery And Tasting Room,6.0
189,Southampton May Bock,Bocks,German Maibock,Southampton Publick House,6.5
190,Früh Bock,Bocks,German Maibock,The Olde Mecklenburg Brewery,6.0
191,Turbo Cougar,Bocks,German Maibock,Devils Backbone Brewing Company,6.8
192,Bock-Bier,Bocks,German Maibock,Mahr's Bräu,6.5
193,Brinkley's Maibock,Bocks,German Maibock,Free State Brewing Co.,6.5
194,Heller Bock Saphir,Bocks,German Maibock,Brauerei Hofstetten Krammer GmbH & Co. KG,7.4
195,Gruffmeister 8,Bocks,German Maibock,Foothills Brewing Company - Downtown Brewpub,8.0
196,Ramstein Maibock,Bocks,German Maibock,High Point Brewing Company,7.0
197,Hizzoner Maibock,Bocks,German Maibock,Two Roads Brewing Company,6.5
198,Dump Truck,Bocks,German Maibock,"Bayern Brewing, Inc. / Edelweiss Bistro",6.0
199,Long Winter's Nap,Bocks,German Maibock,Blue Mountain Brewery,10.0
200,Schneider Weisse Tap 6 Unser Aventinus,Bocks,German Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,8.2
201,Vitus,Bocks,German Weizenbock,Bayerische Staatsbrauerei Weihenstephan,7.7
202,Moonglow Weizenbock,Bocks,German Weizenbock,Victory Brewing Company - Downingtown,8.7
203,Schneider Weisse Tap 5 Meine Hopfenweisse,Bocks,German Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,8.2
204,Ayinger Weizenbock,Bocks,German Weizenbock,Ayinger Privatbrauerei,7.1
205,Bavarian-Styled Doppel Weizen,Bocks,German Weizenbock,Lagunitas Brewing Company,8.7
206,Thumbprint Imperial Weizen,Bocks,German Weizenbock,New Glarus Brewing Company,9.6
207,Erdinger Weissbier Pikantus,Bocks,German Weizenbock,Erdinger Weissbräu,7.3
208,Ramstein Winter Wheat,Bocks,German Weizenbock,High Point Brewing Company,9.5
209,Schneider Weisse Tap X Mein Nelson Sauvin,Bocks,German Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,7.3
210,Primus Weizenbock,Bocks,German Weizenbock,Live Oak Brewing Company,8.3
211,Schneider Weisse Tap X Aventinus Cuvée Barrique,Bocks,German Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,9.5
212,Glockenspiel,Bocks,German Weizenbock,Great Lakes Brewing Co.,8.0
213,Der Weisse Bock,Bocks,German Weizenbock,Mahr's Bräu,8.5
214,La Shawinigan Handshake,Bocks,German Weizenbock,Le Trou Du Diable,6.5
215,Plank Bavarian Heller Weizenbock,Bocks,German Weizenbock,Brauerei Michael Plank,7.5
216,Plank Bavarian Dunkler Weizenbock,Bocks,German Weizenbock,Brauerei Michael Plank,7.5
217,Weizenbock Grande Cuvée,Bocks,German Weizenbock,Les Trois Mousquetaires,11.0
218,Eisenbahn Vigorosa (Weizenbock),Bocks,German Weizenbock,Cervejaria Sudbrack Ltda,8.0
219,Alpen Glow,Bocks,German Weizenbock,Fat Head's Brewery & Saloon,7.0
220,Neshaminator,Bocks,German Weizenbock,Neshaminy Creek Brewing Company,8.5
221,Weiss Principal Imperial Hefe,Bocks,German Weizenbock,Peak Organic Brewing Company,8.6
222,Teufel Bock,Bocks,German Weizenbock,Atwater Brewery,10.9
223,Buffalo Bock,Bocks,German Weizenbock,Minneapolis Town Hall Brewery,7.2
224,Riegele Augustus Weizendoppelbock,Bocks,German Weizenbock,Brauhaus Riegele,8.0
225,Face Plant,Bocks,German Weizenbock,"Bayern Brewing, Inc. / Edelweiss Bistro",7.5
226,Hopf Weisser Bock,Bocks,German Weizenbock,Weissbierbrauerei Hopf,7.0
227,Angry Goat,Bocks,German Weizenbock,Rahr & Sons Brewing Company,8.0
228,Weizenbock,Bocks,German Weizenbock,Pennsylvania Brewing Company,7.9
229,Wild Oats Series No. 10 - Dunkel Buck,Bocks,German Weizenbock,Beau's All Natural Brewing Company,6.8
230,Volks Weizenbock,Bocks,German Weizenbock,Appalachian Brewing Company,7.2
231,Weizen Bock,Bocks,German Weizenbock,Scuttlebutt Brewing Company - Restaurant and Pub,7.9
232,Skull Crushing Ape,Bocks,German Weizenbock,Devils Backbone Brewing Company,8.0
233,Maisel & Friends Jeff's Bavarian Ale,Bocks,German Weizenbock,Brauerei Gebrüder Maisel,7.1
234,Heineken Tarwebok,Bocks,German Weizenbock,Heineken Nederland B.V.,6.5
235,Erlkönig,Bocks,German Weizenbock,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,8.3
236,Weizenbock,Bocks,German Weizenbock,Olde Hickory Brewery,8.0
237,Snow Weizen,Bocks,German Weizenbock,Denen Plaza Kawaba Brewery,5.0
238,Bourbon Barrel Aged Trippel Weizenbock,Bocks,German Weizenbock,The Livery,12.5
239,Ladenburger Weizenbock Hell,Bocks,German Weizenbock,Brauerei Ladenburger,8.0
240,Yule Tide (2015+),Bocks,German Weizenbock,Heavy Seas Beer,9.0
241,St. Blasius Weizenbock,Bocks,German Weizenbock,Aktienbrauerei Kaufbeuren AG,7.2
242,Summer Haze Pale Weizenbock,Bocks,German Weizenbock,Blue Mountain Brewery,7.8
243,Miracle,Bocks,German Weizenbock,Union Craft Brewing Company,7.8
244,Maximilian,Bocks,German Weizenbock,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,7.5
245,Mill Street Weizenbock,Bocks,German Weizenbock,Mill Street Brew Pub,7.5
246,Portsmouth Weizenbock,Bocks,German Weizenbock,Portsmouth Brewery,7.0
247,Sangre De Shiva,Bocks,German Weizenbock,New Braunfels Brewing Company,8.8
248,DumDuminator,Bocks,German Weizenbock,Les Brasseurs Du Temps,8.0
249,Wether,Bocks,German Weizenbock,The Bruery,10.9
250,Indian Brown Ale,Brown Ales,American Brown Ale,Dogfish Head Craft Brewery,7.2
251,Palo Santo Marron,Brown Ales,American Brown Ale,Dogfish Head Craft Brewery,12.0
252,Hazelnut Brown Nectar,Brown Ales,American Brown Ale,Rogue Ales,5.6
253,Tumbler Autumn Brown Ale,Brown Ales,American Brown Ale,Sierra Nevada Brewing Co.,5.5
254,Best Brown Ale,Brown Ales,American Brown Ale,Bell's Brewery - Eccentric Café & General Store,5.8
255,Moose Drool Brown Ale,Brown Ales,American Brown Ale,Big Sky Brewing Company,5.1
256,Old Brown Dog,Brown Ales,American Brown Ale,Smuttynose Brewing Company,6.7
257,Coffee Bender,Brown Ales,American Brown Ale,Surly Brewing Company,5.5
258,Wilco Tango Foxtrot,Brown Ales,American Brown Ale,Lagunitas Brewing Company,7.85
259,Brown Ale,Brown Ales,American Brown Ale,Brooklyn Brewery,5.6
260,Ellie's Brown Ale,Brown Ales,American Brown Ale,Avery Brewing Company,5.5
261,Bender,Brown Ales,American Brown Ale,Surly Brewing Company,5.5
262,Sumatra Mountain Brown,Brown Ales,American Brown Ale,Founders Brewing Company,9.0
263,Koko Brown,Brown Ales,American Brown Ale,Kona Brewing Co.,5.5
264,Frangelic Mountain Brown,Brown Ales,American Brown Ale,Founders Brewing Company,9.0
265,Pecan Ale,Brown Ales,American Brown Ale,Abita Brewing Co.,5.2
266,Cabin Fever,Brown Ales,American Brown Ale,New Holland Brewing Company,6.5
267,Maple Nut Brown Ale,Brown Ales,American Brown Ale,Tommyknocker Brewery,4.5
268,Durty Mud Season,Brown Ales,American Brown Ale,Smuttynose Brewing Company,8.4
269,Samuel Adams Hazel Brown,Brown Ales,American Brown Ale,Boston Beer Company (Samuel Adams),5.2
270,Rocky's Revenge Bourbon Brown,Brown Ales,American Brown Ale,Tyranena Brewing Company,6.0
271,Brekle's Brown,Brown Ales,American Brown Ale,Anchor Brewing Company,6.0
272,Bitch Creek American Brown Ale,Brown Ales,American Brown Ale,Grand Teton Brewing Co.,6.0
273,Bellaire Brown Ale,Brown Ales,American Brown Ale,Short's Brewing Company,7.0
274,George,Brown Ales,American Brown Ale,Hill Farmstead Brewery,6.0
275,Dirty Little Freak,Brown Ales,American Brown Ale,DuClaw Brewing Company,5.8
276,Brown Ale,Brown Ales,American Brown Ale,The Duck-Rabbit Craft Brewery,5.6
277,Board Meeting,Brown Ales,American Brown Ale,Port Brewing,8.0
278,Dos Perros,Brown Ales,American Brown Ale,Yazoo Brewing Company,4.9
279,Imperial Nut Brown Ale,Brown Ales,American Brown Ale,Tommyknocker Brewery,9.0
280,Humboldt Brown (Ale Brewed With Hemp),Brown Ales,American Brown Ale,Humboldt Brewing Co.,5.7
281,Peter Brown Tribute Ale,Brown Ales,American Brown Ale,Bear Republic Brewing Co.,6.3
282,Okie,Brown Ales,American Brown Ale,Prairie Artisan Ales,12.0
283,Underground Mountain Brown,Brown Ales,American Brown Ale,Founders Brewing Company,11.9
284,Good Humans Ale (Dry Hopped Double Brown Ale),Brown Ales,American Brown Ale,Short's Brewing Company,9.15
285,Decadent Dark Chocolate Ale,Brown Ales,American Brown Ale,Atwater Brewery,4.5
286,Sweet Josie Brown Ale,Brown Ales,American Brown Ale,Lonerider Brewing Company,6.1
287,No Crusts,Brown Ales,American Brown Ale,Funky Buddha Brewery,6.0
288,Bravo Imperial Brown Ale,Brown Ales,American Brown Ale,Firestone Walker Brewing Co.,13.2
289,Festivity Ale,Brown Ales,American Brown Ale,Goose Island Beer Co.,7.7
290,Flashback Ale,Brown Ales,American Brown Ale,Boulder Beer / Wilderness Pub,6.8
291,French Toast,Brown Ales,American Brown Ale,Funky Buddha Brewery,8.8
292,He'Brew Messiah Nut Brown Ale,Brown Ales,American Brown Ale,Shmaltz Brewing Company,5.2
293,Snow Roller,Brown Ales,American Brown Ale,Magic Hat Brewing Company,6.2
294,Cacao Bender,Brown Ales,American Brown Ale,Surly Brewing Company,5.1
295,Coffee Okie,Brown Ales,American Brown Ale,Prairie Artisan Ales,13.0
296,Sick Day,Brown Ales,American Brown Ale,Long Trail Brewing Co.,6.8
297,Madtown Nutbrown,Brown Ales,American Brown Ale,Ale Asylum,5.5
298,Hash Brown,Brown Ales,American Brown Ale,SweetWater Brewing Company,6.2
299,Over Ale,Brown Ales,American Brown Ale,Half Acre Beer Company,6.0
300,Newcastle Brown Ale,Brown Ales,English Brown Ale,Heineken Nederland B.V.,4.7
301,Nut Brown Ale,Brown Ales,English Brown Ale,Samuel Smith Old Brewery (Tadcaster),5.0
302,Maduro Brown Ale,Brown Ales,English Brown Ale,Cigar City Brewing,5.5
303,Turbodog,Brown Ales,English Brown Ale,Abita Brewing Co.,5.6
304,Southern Pecan,Brown Ales,English Brown Ale,Lazy Magnolia Brewing Company,4.5
305,Fat Squirrel Ale,Brown Ales,English Brown Ale,New Glarus Brewing Company,5.8
306,Cubano-Style Espresso Brown Ale,Brown Ales,English Brown Ale,Cigar City Brewing,5.5
307,Nut Brown Ale,Brown Ales,English Brown Ale,Goose Island Beer Co.,5.5
308,Nut Brown Ale,Brown Ales,English Brown Ale,AleSmith Brewing Company,5.0
309,Downtown Brown,Brown Ales,English Brown Ale,Lost Coast Brewery and Cafe,5.0
310,Winter Ale,Brown Ales,English Brown Ale,Weyerbacher Brewing Co.,5.6
311,Georgia Brown,Brown Ales,English Brown Ale,SweetWater Brewing Company,5.1
312,Sticky Toffee Pudding,Brown Ales,English Brown Ale,Eagle Brewery,5.0
313,Harvest,Brown Ales,English Brown Ale,Long Trail Brewing Co.,4.4
314,Boffo Brown Ale,Brown Ales,English Brown Ale,Dark Horse Brewing Company,7.0
315,Oatmeal Raisin Cookie Brown Ale,Brown Ales,English Brown Ale,Cigar City Brewing,5.5
